    349.55     300.00     439.87
    341.75     300.00     439.87
    339.80     300.00     439.87
    325.82     287.50     421.56
    317.70     287.50     421.51
    294.95     262.50     385.07
    283.83     250.00     366.88
    251.38     212.50     312.12
    260.54     225.00     330.60
    259.62     225.00     330.74
    254.45     212.50     312.53
    287.06     250.00     367.60
    258.68     212.50     312.56
    248.50     200.00     294.21
    260.67     212.50     312.56
    242.79     212.50     312.56
    211.02     175.00     257.58
    179.24     150.00     220.90
    157.08     125.00     184.17
    144.89     112.50     165.78
    128.94     100.00     147.42
     99.30      75.00     110.71
     79.46      50.00      73.98
     67.62      50.00      73.98
     55.77      25.00      37.25
     43.97      25.00      37.25
     43.93      25.00      37.25
     41.91      25.00      37.25
     41.95      25.00      37.25
     83.66      62.50      92.37
    220.72     187.50     275.88
    249.50     212.50     312.67
    387.27     362.50     532.67
    449.62     425.00     624.43
    417.81     400.00     587.92
    380.77     350.00     514.60
    337.51     312.50     459.52
    189.74     150.00     220.97
    113.70      87.50     129.14
     99.70      75.00     110.76
    119.66      87.50     129.14
    135.28     100.00     147.47
    125.37     100.00     147.47
    147.17     125.00     184.17
    222.26     187.50     275.82
    196.32     162.50     239.14
    162.53     125.00     184.11
    196.32     162.50     239.14
    184.27     150.00     220.78
    160.39     125.00     184.09
    110.93      75.00     110.69
     83.24      50.00      73.97
     81.35      62.50      92.33
     97.52      62.50      92.37
    128.24     100.00     147.58
    138.91     112.50     166.03
    149.68     125.00     184.51
    204.10     200.00     295.04
    184.10     187.50     276.72
    203.05     200.00     295.20
    147.52     150.00     221.57
     79.67      87.50     129.44
     22.68      37.50      55.74
     10.57      25.00      37.33
     10.58      25.00      37.33
     16.61      25.00      37.33
     12.58      25.00      37.33
      2.52      12.50      18.92
      6.54      25.00      37.33
     44.68      50.00      74.12
     44.59      37.50      55.71
     68.50      50.00      74.09
     56.33      37.50      55.68
     40.34      25.00      37.29
     36.39      12.50      18.90
     28.39      12.50      18.89
     10.44       0.00       0.50
      4.48      12.50      18.90
     38.77      50.00      74.14
    150.88     150.00     221.79
    259.16     250.00     369.51
    320.31     312.50     461.96
    348.65     337.50     498.93
    377.15     375.00     554.31
    346.54     337.50     498.93
    230.84     225.00     332.82
    141.67     137.50     203.54
    150.73     150.00     221.76
     95.72     100.00     147.82
     63.12      75.00     110.98
     81.46      87.50     129.40
     44.98      62.50      92.58
     32.76      50.00      74.15
     30.83      37.50      55.76
     43.05      50.00      74.19
     41.10      50.00      74.21
     45.29      62.50      92.65
     74.08      87.50     129.54
    192.27     200.00     295.45
    196.77     187.50     277.11
    136.86     137.50     203.43
     87.52     100.00     148.18
     73.65      87.50     129.86
     93.43     100.00     148.50
    161.62     162.50     240.98
    313.23     312.50     462.91
    273.55     262.50     389.26
    343.94     337.50     500.28
    255.38     262.50     389.47
    174.65     175.00     259.87
    133.30     150.00     222.77
    117.98     125.00     185.70
     99.86     100.00     148.52
    161.16     162.50     240.90
    206.14     212.50     314.84
    180.02     175.00     259.34
     99.11     112.50     166.86
     64.92      75.00     111.32
     19.09      25.00      37.43
     21.22      37.50      55.91
    180.76     187.50     277.56
    129.09     137.50     203.89
    257.06     262.50     389.01
    448.95     450.00     666.08
    453.73     450.00     665.79
    387.84     387.50     573.45
    405.83     387.50     573.95
    735.76     775.00    1146.78
    832.25     875.00    1294.27
    982.58    1087.50    1606.73
   1079.82    1225.00    1807.47
   1099.16    1262.50    1861.58
    987.05    1100.00    1623.26
    610.75     625.00     923.92
    304.34     300.00     443.69
    183.54     187.50     277.32
    175.60     187.50     277.02
    147.52     150.00     221.57
    231.38     237.50     350.98
    289.90     287.50     424.63
    230.55     237.50     350.49
    146.80     150.00     221.45
    220.28     212.50     313.72
    230.10     225.00     332.03
    240.12     237.50     350.38
    363.10     350.00     516.28
    433.96     437.50     645.50
    465.37     475.00     700.56
    601.44     612.50     903.21
    728.78     762.50    1124.40
    775.21     825.00    1217.31
    825.44     887.50    1310.91
    947.73    1037.50    1531.56
    619.70     637.50     943.51
    566.67     562.50     833.01
    500.18     487.50     722.32
    338.71     337.50     500.49
    302.80     300.00     444.51
    365.88     350.00     517.39
    392.33     387.50     572.77
    438.51     437.50     646.27
    569.20     587.50     866.83
    633.45     650.00     958.58
    622.02     625.00     921.43
    632.59     650.00     958.06
    582.31     587.50     866.17
    519.69     525.00     774.25
    491.20     487.50     719.37
    471.92     462.50     682.95
    377.86     375.00     554.43
    336.41     325.00     480.94
